pathway	size	pval	padj	NES
PID_NOTCH_PATHWAY%MSIGDB_C2%PID_NOTCH_PATHWAY	45	0.0016	0.0086	1.8166
DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIENCY (DHPD)%SMPDB%SMP0000179	24	0.0013	0.0072	-1.8689
REGULATION OF ERK1 AND ERK2 CASCADE%GOBP%GO:0070372	222	0.0001	0.0013	1.6812
NEGATIVE REGULATION OF MITOTIC CELL CYCLE%GOBP%GO:0045930	184	0.0015	0.008	-1.5143
VIRAL BUDDING VIA HOST ESCRT COMPLEX%GOBP%GO:0039702	22	0.0052	0.0213	1.7744
CELLULAR LIPID CATABOLIC PROCESS%GOBP%GO:0044242	183	0.0102	0.0359	-1.403
NEGATIVE REGULATION OF CATALYTIC ACTIVITY%GOBP%GO:0043086	354	0.0001	0.0012	1.5579
TETRAPYRROLE BIOSYNTHETIC PROCESS%GOBP%GO:0033014	22	0.0026	0.0125	-1.804
SARS-COV-2 ACTIVATES MODULATES INNATE AND ADAPTIVE IMMUNE RESPONSES%REACTOME DATABASE ID RELEASE 81%9705671	117	0	0.0003	1.8721
NUCLEOTIDE EXCISION REPAIR%WIKIPATHWAYS_20240410%WP4753%HOMO SAPIENS	33	0.0019	0.0097	-1.8252
SELECTIVE EXPRESSION OF CHEMOKINE RECEPTORS DURING T CELL POLARIZATION%WIKIPATHWAYS_20240410%WP4494%HOMO SAPIENS	23	0.012	0.0403	1.7035
RIBOSE PHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0046390	175	4.0522e-7	0.0000099867	-1.9814
MYD88 CASCADE INITIATED ON PLASMA MEMBRANE%REACTOME DATABASE ID RELEASE 81%975871	94	0.0000056237	0.0001	1.9982
PDGF PATHWAY%WIKIPATHWAYS_20240410%WP2526%HOMO SAPIENS	33	0.0001	0.0007	2.1137
MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	139	0.0000049056	0.0001	-1.8884
COENZYME A METABOLIC PROCESS%GOBP%GO:0015936	15	0.0056	0.0227	-1.7901
HSP90 CHAPERONE CYCLE FOR SHRS%REACTOME%R-HSA-3371497.7	38	0.0004	0.0026	1.9451
CELL RECRUITMENT (PRO-INFLAMMATORY RESPONSE)%REACTOME DATABASE ID RELEASE 81%9664424	25	0.0122	0.0408	1.6141
POSITIVE REGULATION OF CANONICAL NF-KAPPAB SIGNAL TRANSDUCTION%GOBP%GO:0043123	197	5.3909e-9	2.3535e-7	2.0538
NON-CANONICAL NF-KAPPAB SIGNAL TRANSDUCTION%GOBP%GO:0038061	28	0	0.0002	2.2025
ORC1 REMOVAL FROM CHROMATIN%REACTOME%R-HSA-68949.5	71	0.0027	0.0126	-1.6256
VITAMIN D RECEPTOR PATHWAY%WIKIPATHWAYS_20240410%WP2877%HOMO SAPIENS	166	0.0002	0.0017	1.735
INTERLEUKIN-7 SIGNALING%REACTOME%R-HSA-1266695.10	25	0.0105	0.0367	1.6783
CELLULAR RESPIRATION%GOBP%GO:0045333	148	0.002	0.0104	-1.5437
REGULATION OF MACROPHAGE DERIVED FOAM CELL DIFFERENTIATION%GOBP%GO:0010743	31	0.0033	0.0149	1.8198
ENDOMETRIAL CANCER%WIKIPATHWAYS_20240410%WP4155%HOMO SAPIENS	53	0.002	0.0101	1.7224
BLOOD CIRCULATION%GOBP%GO:0008015	274	0.0029	0.0135	1.4924
FOXA1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXA1 TRANSCRIPTION FACTOR NETWORK	44	0.0119	0.0402	1.6839
MITOTIC NUCLEAR DIVISION%GOBP%GO:0140014	150	0	0.0004	-1.7673
REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION%GOBP%GO:2000514	60	0.0000018323	0	2.1939
INTERLEUKIN-12 FAMILY SIGNALING%REACTOME%R-HSA-447115.7	56	0.0011	0.0062	1.8319
NEGATIVE REGULATION OF CATABOLIC PROCESS%GOBP%GO:0009895	289	0.0015	0.0082	1.4741
LATE ENDOSOME TO LYSOSOME TRANSPORT%GOBP%GO:1902774	18	0.0007	0.0045	1.9564
NEGATIVE REGULATION OF RESPONSE TO CYTOKINE STIMULUS%GOBP%GO:0060761	70	0.007	0.027	1.5952
HEMOPOIESIS%GOBP%GO:0030097	393	0.0001	0.0009	1.5501
RIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009259	318	8.2421e-9	3.4038e-7	-1.8991
NEGATIVE REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090101	122	0	0.0002	1.9151
MITOCHONDRIAL ELECTRON TRANSPORT, NADH TO UBIQUINONE%GOBP%GO:0006120	42	0.0065	0.0253	-1.636
MODULATION BY HOST OF SYMBIONT PROCESS%GOBP%GO:0051851	81	0.0005	0.0035	1.7451
VIRAL LIFE CYCLE%GOBP%GO:0019058	104	0.0001	0.0006	1.8348
NRP1 TRIGGERED SIGNALING PATHWAYS IN PANCREATIC CANCER %WIKIPATHWAYS_20240410%WP5144%HOMO SAPIENS	44	0.0000059837	0.0001	2.1736
FLUVASTATIN ACTION PATHWAY%PATHWHIZ%PW000274	21	0.0026	0.0124	-1.8161
RECIPROCAL HOMOLOGOUS RECOMBINATION%GOBP%GO:0140527	52	0.0001	0.0009	-2.0279
NEGATIVE REGULATION OF CELL DEVELOPMENT%GOBP%GO:0010721	149	0	0.0005	1.8648
NEGATIVE REGULATION OF SIGNAL TRANSDUCTION IN ABSENCE OF LIGAND%GOBP%GO:1901099	23	0.0099	0.0352	1.7259
DNA IR DAMAGE AND CELLULAR RESPONSE VIA ATR%WIKIPATHWAYS_20240410%WP4016%HOMO SAPIENS	72	0	0.0004	-1.9826
MITOTIC METAPHASE AND ANAPHASE%REACTOME DATABASE ID RELEASE 81%2555396	228	0.0007	0.0042	-1.4974
APOPTOSIS%WIKIPATHWAYS_20240410%WP254%HOMO SAPIENS	75	0.0000029613	0.0001	2.1019
HDMS DEMETHYLATE HISTONES%REACTOME%R-HSA-3214842.5	26	0.0001	0.0011	2.0452
REGULATION OF T CELL CYTOKINE PRODUCTION%GOBP%GO:0002724	33	0.0002	0.0018	1.9667
DISEASES OF DNA DOUBLE-STRAND BREAK REPAIR%REACTOME DATABASE ID RELEASE 81%9675136	41	0.0003	0.0025	-1.9286
NUCLEOBASE METABOLIC PROCESS%GOBP%GO:0009112	27	0.0135	0.0441	-1.5572
DEFECTS IN TOLL-LIKE RECEPTOR CASCADES%REACTOME DATABASE ID RELEASE 81%5602358	32	0	0.0004	2.1451
NEGATIVE REGULATION OF FGFR2 SIGNALING%REACTOME%R-HSA-5654727.3	28	0.0051	0.021	1.7735
TNFR2 NON-CANONICAL NF-KB PATHWAY%REACTOME%R-HSA-5668541.5	99	0.0003	0.0022	1.7828
NEGATIVE REGULATION OF CYTOKINE PRODUCTION%GOBP%GO:0001818	233	0	0.0004	1.7102
INTERLEUKIN-6 FAMILY SIGNALING%REACTOME DATABASE ID RELEASE 81%6783589	24	0.001	0.0058	1.9109
NEGATIVE REGULATION OF TYPE I INTERFERON PRODUCTION%GOBP%GO:0032480	41	0.001	0.0061	1.8314
TERPENOID METABOLIC PROCESS%GOBP%GO:0006721	80	0.0149	0.0477	-1.4848
PID_IL12_STAT4_PATHWAY%MSIGDB_C2%PID_IL12_STAT4_PATHWAY	28	0	0.0001	2.2175
CHILD SYNDROME%PATHWHIZ%PW000096	21	0.0026	0.0124	-1.8161
RIBONUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0009260	169	0.00000136	0	-1.9226
ENDOGENOUS TLR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ENDOGENOUS TLR SIGNALING	25	0.0023	0.0114	1.9022
TRAF6 MEDIATED INDUCTION OF NFKB AND MAP KINASES UPON TLR7 8 OR 9 ACTIVATION%REACTOME%R-HSA-975138.5	99	0.0000026038	0	2.0051
PID_CMYB_PATHWAY%MSIGDB_C2%PID_CMYB_PATHWAY	71	0.0055	0.0221	1.6139
ESTABLISHMENT OF PROTEIN LOCALIZATION TO VACUOLE%GOBP%GO:0072666	55	0.0058	0.0232	1.6871
NEGATIVE REGULATION OF ENDOTHELIAL CELL APOPTOTIC PROCESS%GOBP%GO:2000352	27	0.0079	0.0295	1.7392
PID_TELOMERASE_PATHWAY%MSIGDB_C2%PID_TELOMERASE_PATHWAY	60	0.0039	0.017	1.6355
PID_FAK_PATHWAY%MSIGDB_C2%PID_FAK_PATHWAY	52	0.004	0.0173	1.7591
RESPONSE TO MECHANICAL STIMULUS%GOBP%GO:0009612	107	0.0021	0.0105	1.6474
PID_PDGFRB_PATHWAY%MSIGDB_C2%PID_PDGFRB_PATHWAY	102	0	0.0005	1.8925
PID_CERAMIDE_PATHWAY%MSIGDB_C2%PID_CERAMIDE_PATHWAY	39	0.0137	0.0447	1.6277
NEURON MIGRATION%GOBP%GO:0001764	65	0.014	0.0454	1.6232
POSITIVE REGULATION OF CELL-CELL ADHESION%GOBP%GO:0022409	264	2.3563e-10	1.5002e-8	2.1202
ARYL HYDROCARBON RECEPTOR PATHWAY%WIKIPATHWAYS_20240410%WP2586%HOMO SAPIENS	39	0.0002	0.0016	2.0012
RNA CATABOLIC PROCESS%GOBP%GO:0006401	157	0.0049	0.0201	1.4907
REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION%GOBP%GO:1903555	139	0.0000054712	0.0001	1.9339
REGULATION OF MITOTIC SPINDLE CHECKPOINT%GOBP%GO:1903504	22	0.0045	0.019	-1.7547
REGULATION OF LIPID LOCALIZATION%GOBP%GO:1905952	128	0.0008	0.0047	1.6884
POSITIVE REGULATION OF LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002705	114	0.0000014982	0	2.0586
TICAM1, RIP1-MEDIATED IKK COMPLEX RECRUITMENT%REACTOME%R-HSA-168927.5	19	0.0002	0.0014	2.0562
NEGATIVE REGULATION OF CELL CYCLE PHASE TRANSITION%GOBP%GO:1901988	196	0.0002	0.0017	-1.6141
TGF-BETA RECEPTOR SIGNALING ACTIVATES SMADS%REACTOME%R-HSA-2173789.6	45	0.0026	0.0125	1.7727
DOWNSTREAM SIGNALING IN NAIVE CD8+ T CELLS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%DOWNSTREAM SIGNALING IN NAIVE CD8+ T CELLS	63	0.0000053394	0.0001	2.1955
SIGNALING BY NTRK1 (TRKA)%REACTOME DATABASE ID RELEASE 81%187037	111	0.0000030242	0.0001	2.001
ENDOCHONDRAL OSSIFICATION WITH SKELETAL DYSPLASIAS%WIKIPATHWAYS_20240410%WP4808%HOMO SAPIENS	53	0.0039	0.0171	1.7111
TGF BETA RECEPTOR SIGNALING%WIKIPATHWAYS_20240410%WP560%HOMO SAPIENS	51	0.0000025404	0	2.2052
REGULATION OF TYPE II INTERFERON PRODUCTION%GOBP%GO:0032649	89	0.0024	0.012	1.6599
NEGATIVE REGULATION OF T CELL DIFFERENTIATION%GOBP%GO:0045581	33	0.0107	0.0371	1.711
PHYSICO CHEMICAL FEATURES AND TOXICITY ASSOCIATED PATHWAYS%WIKIPATHWAYS_20240410%WP3680%HOMO SAPIENS	57	0.0131	0.0432	1.6085
RECRUITMENT OF MITOTIC CENTROSOME PROTEINS AND COMPLEXES%REACTOME DATABASE ID RELEASE 81%380270	80	0.0004	0.0029	-1.7871
TLR4 SIGNALING AND TOLERANCE%WIKIPATHWAYS_20240410%WP3851%HOMO SAPIENS	27	0	0.0002	2.1639
INSULIN IGF PATHWAY-PROTEIN KINASE B SIGNALING CASCADE%PANTHER PATHWAY%P00033	22	0.002	0.0102	1.8816
POSITIVE REGULATION OF KINASE ACTIVITY%GOBP%GO:0033674	252	4.5871e-8	0.0000015237	1.9368
SEPARATION OF SISTER CHROMATIDS%REACTOME DATABASE ID RELEASE 81%2467813	168	0.0007	0.0043	-1.5792
PURINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0072521	411	2.1242e-10	1.3666e-8	-1.923
REGULATION OF LIPID BIOSYNTHETIC PROCESS%GOBP%GO:0046890	135	0.0053	0.0215	1.5456
AZATHIOPRINE ACTION PATHWAY%SMPDB%SMP0000427	47	0.0073	0.0278	-1.6524
NEGATIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS%GOBP%GO:0043154	47	0.0001	0.0009	2.0081
REGULATION OF MONONUCLEAR CELL MIGRATION%GOBP%GO:0071675	111	0.001	0.0057	1.6877
GLUTAMATE METABOLISM%PATHWHIZ%PW000003	22	0.011	0.0376	-1.715
SPINDLE CHECKPOINT SIGNALING%GOBP%GO:0031577	28	0	0.0004	-2.1582
REGULATION OF ANDROGEN RECEPTOR ACTIVITY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF ANDROGEN RECEPTOR ACTIVITY	53	0.0003	0.0021	1.9257
CHEMOKINE RECEPTORS BIND CHEMOKINES%REACTOME%R-HSA-380108.6	57	0.0003	0.002	2.0005
INTERFERON SIGNALING%REACTOME%R-HSA-913531.4	248	4.3865e-9	1.9569e-7	2.042
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	165	4.7911e-9	2.1067e-7	2.1773
CELL DIVISION%GOBP%GO:0051301	150	0.0073	0.0279	-1.4457
REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY%GOBP%GO:0071900	223	0	0.0004	1.7312
REGULATION OF CYTOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0001959	131	0	0.0005	1.8691
CELL FATE COMMITMENT%GOBP%GO:0045165	147	0.0132	0.0434	1.4404
LOSS OF PROTEINS REQUIRED FOR INTERPHASE MICROTUBULE ORGANIZATION FROM THE CENTROSOME%REACTOME%R-HSA-380284.3	68	0.0006	0.0038	-1.7884
CARBOHYDRATE DERIVATIVE BIOSYNTHETIC PROCESS%GOBP%GO:1901137	520	0.0011	0.0062	-1.3285
NUCLEAR DIVISION%GOBP%GO:0000280	271	2.8575e-9	1.3466e-7	-1.9599
REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME DATABASE ID RELEASE 81%9010553	171	0	0.0004	-1.7733
TOLL LIKE RECEPTOR 2 (TLR2) CASCADE%REACTOME%R-HSA-181438.3	110	0.0000027512	0	1.991
REGULATION OF CELL DIVISION%GOBP%GO:0051302	134	0.0072	0.0277	-1.485
PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA%REACTOME DATABASE ID RELEASE 81%72203	277	0.0027	0.0127	1.4582
RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009201	83	6.477e-7	0	-2.147
NOTCH SIGNALING PATHWAY%GOBP%GO:0007219	43	0.0082	0.0305	1.706
DEVELOPMENTAL GROWTH%GOBP%GO:0048589	133	0.0128	0.0423	1.4955
PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	63	0.0003	0.0022	-1.9498
INTERLEUKIN-1 FAMILY SIGNALING%REACTOME%R-HSA-446652.9	150	0	0.0005	1.8028
EMBRYONIC STEM CELL PLURIPOTENCY PATHWAYS%WIKIPATHWAYS_20240410%WP3931%HOMO SAPIENS	99	0.0044	0.0187	1.6384
CONSTITUTIVE SIGNALING BY AKT1 E17K IN CANCER%REACTOME DATABASE ID RELEASE 81%5674400	25	0.0105	0.0367	1.6373
GROWTH HORMONE RECEPTOR SIGNALING%REACTOME%R-HSA-982772.3	23	0.0003	0.0021	2.0214
ER TO GOLGI ANTEROGRADE TRANSPORT%REACTOME DATABASE ID RELEASE 81%199977	135	0	0.0003	1.8224
REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050670	166	4.3213e-7	0	1.9774
REGULATION OF TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY%GOBP%GO:0017015	120	0.000003156	0.0001	1.9653
FOXO-MEDIATED TRANSCRIPTION%REACTOME%R-HSA-9614085.3	66	0.0009	0.0052	1.8577
HEME SIGNALING%REACTOME%R-HSA-9707616.4	46	0.0014	0.0075	1.8292
TRNA AMINOACYLATION%GOBP%GO:0043039	41	0	0.0004	-2.1226
LEUKOCYTE ACTIVATION%GOBP%GO:0045321	386	0.0002	0.0014	1.5687
POSITIVE REGULATION OF EPITHELIAL CELL MIGRATION%GOBP%GO:0010634	136	0.0002	0.0015	1.7368
SULFUR AMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 81%1614635	28	0.0021	0.0107	-1.8185
PROTEIN TARGETING TO VACUOLE%GOBP%GO:0006623	39	0.0028	0.0129	1.7977
REGULATION OF PROTEIN CATABOLIC PROCESS%GOBP%GO:0042176	300	0.0017	0.009	1.4638
DISULFIRAM ACTION PATHWAY%PATHWHIZ%PW000431	23	0.0004	0.0026	-2.0312
REGULATION OF SYSTEM PROCESS%GOBP%GO:0044057	373	0.0023	0.0116	1.4417
BIOCARTA_TCR_PATHWAY%MSIGDB_C2%BIOCARTA_TCR_PATHWAY	37	0.0049	0.0204	1.7848
PURINE NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0006195	72	0.004	0.0173	-1.632
RUNX1 REGULATES GENES INVOLVED IN MEGAKARYOCYTE DIFFERENTIATION AND PLATELET FUNCTION%REACTOME%R-HSA-8936459.2	63	0.0018	0.0094	1.7379
NEGATIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001234	171	0.0000053654	0.0001	1.8767
CELL CYCLE%WIKIPATHWAYS_20240410%WP179%HOMO SAPIENS	98	0.002	0.0102	-1.6217
POSITIVE REGULATION OF LEUKOCYTE DIFFERENTIATION%GOBP%GO:1902107	144	0.0067	0.0258	1.4599
REGULATION OF HEART GROWTH%GOBP%GO:0060420	29	0.0026	0.0125	1.8143
REGULATION OF LEUKOCYTE CHEMOTAXIS%GOBP%GO:0002688	103	0.0005	0.0036	1.7711
PROTEIN TARGETING TO ER%GOBP%GO:0045047	29	0.0027	0.0127	1.7663
REGULATION OF SECRETION%GOBP%GO:0051046	420	0.0001	0.001	1.5672
MAP3K8 (TPL2)-DEPENDENT MAPK1 3 ACTIVATION%REACTOME%R-HSA-5684264.4	16	0.0007	0.0046	1.9562
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I%GOBP%GO:0002474	36	0.0032	0.0144	1.7925
CHROMATIN MODIFYING ENZYMES%REACTOME DATABASE ID RELEASE 81%3247509	237	0.0002	0.0019	1.5952
SPINDLE ASSEMBLY%GOBP%GO:0051225	84	0.0009	0.0055	-1.6876
LYSOSOMAL TRANSPORT%GOBP%GO:0007041	127	0	0.0005	1.7968
SIGNALING BY NOTCH1%REACTOME DATABASE ID RELEASE 81%1980143	72	0.0017	0.009	1.7196
GLUTATHIONE CONJUGATION%REACTOME DATABASE ID RELEASE 81%156590	37	0.0024	0.012	-1.7246
AEROBIC RESPIRATION AND RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-1428517.4	209	0	0.0005	-1.6528
REGULATION OF CELL CYCLE CHECKPOINT%GOBP%GO:1901976	41	0.0007	0.0045	-1.8962
PURINE NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0006163	385	1.0454e-9	5.3691e-8	-1.8954
POSITIVE REGULATION OF GROWTH%GOBP%GO:0045927	153	0.0001	0.0012	1.7248
REGULATION OF PEPTIDASE ACTIVITY%GOBP%GO:0052547	227	0.011	0.0377	1.4118
SUPERPATHWAY OF PYRIMIDINE DEOXYRIBONUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY-7211	22	0.0009	0.0053	-1.9062
CHROMATIN MODIFICATIONS DURING THE MATERNAL TO ZYGOTIC TRANSITION (MZT)%REACTOME%R-HSA-9821002.1	38	0.0047	0.0198	1.7343
ANTIMICROBIAL HUMORAL RESPONSE%GOBP%GO:0019730	140	0	0.0005	2.0036
CHAPERONE COFACTOR-DEPENDENT PROTEIN REFOLDING%GOBP%GO:0051085	26	0.0019	0.01	1.8304
FOLIC ACID-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0006760	23	0.0142	0.0458	-1.6432
NEGATIVE REGULATION OF LOCOMOTION%GOBP%GO:0040013	262	0.001	0.0061	1.5375
REGULATION OF PHOSPHOPROTEIN PHOSPHATASE ACTIVITY%GOBP%GO:0043666	37	0.0066	0.0258	1.7118
MITOTIC SPINDLE CHECKPOINT SIGNALING%GOBP%GO:0071174	27	0	0.0002	-2.2038
TOLL LIKE RECEPTOR TLR1:TLR2 CASCADE%REACTOME%R-HSA-168179.3	110	0.0000027512	0	1.991
LIPID CATABOLIC PROCESS%GOBP%GO:0016042	217	0.0074	0.0282	-1.4145
IBANDRONATE ACTION PATHWAY%SMPDB%SMP0000079	21	0.0026	0.0124	-1.8161
DNA DUPLEX UNWINDING%GOBP%GO:0032508	42	0.0028	0.0129	-1.7741
NON-INTEGRIN MEMBRANE-ECM INTERACTIONS%REACTOME DATABASE ID RELEASE 81%3000171	42	0.0151	0.0481	1.6438
POSITIVE REGULATION OF INTERLEUKIN-1 PRODUCTION%GOBP%GO:0032732	64	0.0047	0.0194	1.6848
HUMORAL IMMUNE RESPONSE%GOBP%GO:0006959	224	2.4776e-8	8.8042e-7	2.1882
PIWI-INTERACTING RNA (PIRNA) BIOGENESIS%REACTOME%R-HSA-5601884.3	29	0.0157	0.0495	-1.6246
FIBRIN COMPLEMENT RECEPTOR 3 SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP4136%HOMO SAPIENS	36	0.0000035888	0.0001	2.2118
ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20240410%WP111%HOMO SAPIENS	97	9.1542e-7	0	-2.1284
HALLMARK_KRAS_SIGNALING_UP%MSIGDBHALLMARK%HALLMARK_KRAS_SIGNALING_UP	167	0.0000010225	0	1.9535
CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	126	3.6289e-8	0.0000012322	-2.1409
GLUCOCORTICOID RECEPTOR REGULATORY NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%GLUCOCORTICOID RECEPTOR REGULATORY NETWORK	82	3.283e-7	0.0000082917	2.2082
POSITIVE REGULATION OF IMMUNE EFFECTOR PROCESS%GOBP%GO:0002699	198	8.4435e-8	0.0000025422	2.0175
NEGATIVE REGULATION OF CELL MOTILITY%GOBP%GO:2000146	257	0.001	0.0059	1.5467
IL1-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL1-MEDIATED SIGNALING EVENTS	34	0	0.0005	2.1092
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.6	94	3.9712e-12	4.5796e-10	-2.5512
AMINO ACID ACTIVATION%GOBP%GO:0043038	41	0	0.0004	-2.1226
BLOOD VESSEL ENDOTHELIAL CELL MIGRATION%GOBP%GO:0043534	23	0.0071	0.0273	1.7574
IMMUNE INFILTRATION IN PANCREATIC CANCER%WIKIPATHWAYS_20240410%WP5285%HOMO SAPIENS	35	0	0.0004	2.1684
REGULATION OF MITOTIC SISTER CHROMATID SEGREGATION%GOBP%GO:0033047	52	0.000007467	0.0001	-2.1147
POSITIVE REGULATION OF PROTEIN-CONTAINING COMPLEX ASSEMBLY%GOBP%GO:0031334	173	0.0007	0.0042	1.6307
TOLL LIKE RECEPTOR 10 (TLR10) CASCADE%REACTOME%R-HSA-168142.3	94	0.0000056237	0.0001	1.9982
TNF RECEPTOR SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TNF RECEPTOR SIGNALING PATHWAY	46	3.6798e-7	0.0000091056	2.3273
PROLACTIN SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP2037%HOMO SAPIENS	65	0.0018	0.0094	1.7645
REGULATION OF PROTEIN STABILITY%GOBP%GO:0031647	301	0.0015	0.0081	1.4635
PI3K AKT SIGNALING IN CANCER%REACTOME DATABASE ID RELEASE 81%2219528	91	0.0012	0.007	1.7232
REGULATION OF HUMORAL IMMUNE RESPONSE%GOBP%GO:0002920	32	0.0127	0.0421	1.6707
REGULATION OF MYELOID LEUKOCYTE DIFFERENTIATION%GOBP%GO:0002761	89	0.0058	0.023	1.5672
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME DATABASE ID RELEASE 81%163200	136	0	0.0002	-1.8826
NUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009123	34	0.0014	0.0077	-1.8442
HEXOSE CATABOLIC PROCESS%GOBP%GO:0019320	34	0.0034	0.0151	-1.6913
CELL CHEMOTAXIS%GOBP%GO:0060326	184	0.000005921	0.0001	1.9065
LKB1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%LKB1 SIGNALING EVENTS	43	0.0045	0.019	1.694
POSITIVE REGULATION OF T CELL PROLIFERATION%GOBP%GO:0042102	76	0	0.0002	2.0523
POSITIVE REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR PRODUCTION%GOBP%GO:0010575	27	0.0017	0.0089	1.8682
ENDOTHELIAL CELL DIFFERENTIATION%GOBP%GO:0045446	59	0	0.0003	2.0776
REGULATION OF TYROSINE PHOSPHORYLATION OF STAT PROTEIN%GOBP%GO:0042509	58	0	0.0004	2.0981
MEASLES VIRUS INFECTION%WIKIPATHWAYS_20240410%WP4630%HOMO SAPIENS	123	3.9145e-9	1.7592e-7	2.2486
UNFOLDED PROTEIN RESPONSE%WIKIPATHWAYS_20240410%WP4925%HOMO SAPIENS	20	0.0071	0.0273	1.7643
REGULATION OF MAP KINASE ACTIVITY%GOBP%GO:0043405	123	0.0000065528	0.0001	1.935
REGULATION OF EXECUTION PHASE OF APOPTOSIS%GOBP%GO:1900117	31	0.0044	0.0186	1.8026
CIRCADIAN CLOCK%REACTOME DATABASE ID RELEASE 81%400253	66	4.4761e-7	0	2.2416
POSITIVE REGULATION OF PHOSPHATE METABOLIC PROCESS%GOBP%GO:0045937	572	2.8906e-15	1.1042e-12	2.0342
REGULATION OF CELL JUNCTION ASSEMBLY%GOBP%GO:1901888	149	0.0001	0.0007	1.793
REGULATION OF HYDROLASE ACTIVITY%GOBP%GO:0051336	538	0.0000028295	0	1.6022
CYTOSOLIC SENSORS OF PATHOGEN-ASSOCIATED DNA%REACTOME%R-HSA-1834949.4	64	0.0048	0.0201	1.6677
TGF BETA RECEPTOR SIGNALING IN SKELETAL DYSPLASIAS%WIKIPATHWAYS_20240410%WP4816%HOMO SAPIENS	54	0.0000034998	0.0001	2.2125
METAPHASE CHROMOSOME ALIGNMENT%GOBP%GO:0051310	80	0.0096	0.0344	-1.5324
REGULATION OF HOMOTYPIC CELL-CELL ADHESION%GOBP%GO:0034110	33	0.0097	0.0345	1.7218
PID_AJDISS_2PATHWAY%MSIGDB_C2%PID_AJDISS_2PATHWAY	40	0.0031	0.0141	1.8361
ESTABLISHMENT OF PROTEIN LOCALIZATION TO MEMBRANE%GOBP%GO:0090150	207	0.0027	0.0128	1.5074
PROTEIN PHOSPHORYLATION%GOBP%GO:0006468	408	0	0.0004	1.5886
NEGATIVE REGULATION OF HORMONE SECRETION%GOBP%GO:0046888	33	0.0157	0.0496	1.5902
